interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss,ghg
2025-10-19 00:00:00-07:00,2025-10-19 07:00:00+00:00,2025-10-19 00:05:00-07:00,2025-10-19 07:05:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.98215,50.97289,0.0,1.00926,0.0
2025-10-19 00:00:00-07:00,2025-10-19 07:00:00+00:00,2025-10-19 00:05:00-07:00,2025-10-19 07:05:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.43422,50.97289,0.0,2.46133,0.0
2025-10-19 00:00:00-07:00,2025-10-19 07:00:00+00:00,2025-10-19 00:05:00-07:00,2025-10-19 07:05:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.96593,50.97289,0.0,1.99304,0.0
2025-10-19 00:05:00-07:00,2025-10-19 07:05:00+00:00,2025-10-19 00:10:00-07:00,2025-10-19 07:10:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,52.38146,51.36445,0.0,1.01702,0.0
2025-10-19 00:05:00-07:00,2025-10-19 07:05:00+00:00,2025-10-19 00:10:00-07:00,2025-10-19 07:10:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.84468,51.36445,0.0,2.48024,0.0
2025-10-19 00:05:00-07:00,2025-10-19 07:05:00+00:00,2025-10-19 00:10:00-07:00,2025-10-19 07:10:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,53.3728,51.36445,0.0,2.00835,0.0
2025-10-19 00:10:00-07:00,2025-10-19 07:10:00+00:00,2025-10-19 00:15:00-07:00,2025-10-19 07:15:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,55.26734,54.19429,0.0,1.07305,0.0
2025-10-19 00:10:00-07:00,2025-10-19 07:10:00+00:00,2025-10-19 00:15:00-07:00,2025-10-19 07:15:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,56.81117,54.19429,0.0,2.61688,0.0
2025-10-19 00:10:00-07:00,2025-10-19 07:10:00+00:00,2025-10-19 00:15:00-07:00,2025-10-19 07:15:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,56.31329,54.19429,0.0,2.119,0.0
2025-10-19 00:15:00-07:00,2025-10-19 07:15:00+00:00,2025-10-19 00:20:00-07:00,2025-10-19 07:20:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,58.43046,57.39167,0.0,1.03879,0.0
2025-10-19 00:15:00-07:00,2025-10-19 07:15:00+00:00,2025-10-19 00:20:00-07:00,2025-10-19 07:20:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,60.05964,57.39167,0.0,2.66797,0.0
2025-10-19 00:15:00-07:00,2025-10-19 07:15:00+00:00,2025-10-19 00:20:00-07:00,2025-10-19 07:20:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,59.53812,57.39167,0.0,2.14645,0.0
2025-10-19 00:20:00-07:00,2025-10-19 07:20:00+00:00,2025-10-19 00:25:00-07:00,2025-10-19 07:25:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,58.44128,57.40229,0.0,1.03898,0.0
2025-10-19 00:20:00-07:00,2025-10-19 07:20:00+00:00,2025-10-19 00:25:00-07:00,2025-10-19 07:25:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,60.07075,57.40229,0.0,2.66846,0.0
2025-10-19 00:20:00-07:00,2025-10-19 07:20:00+00:00,2025-10-19 00:25:00-07:00,2025-10-19 07:25:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,59.54914,57.40229,0.0,2.14685,0.0
2025-10-19 00:25:00-07:00,2025-10-19 07:25:00+00:00,2025-10-19 00:30:00-07:00,2025-10-19 07:30:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,58.44124,57.40226,0.0,1.03898,0.0
2025-10-19 00:25:00-07:00,2025-10-19 07:25:00+00:00,2025-10-19 00:30:00-07:00,2025-10-19 07:30:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,60.07072,57.40226,0.0,2.66846,0.0
2025-10-19 00:25:00-07:00,2025-10-19 07:25:00+00:00,2025-10-19 00:30:00-07:00,2025-10-19 07:30:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,59.5491,57.40226,0.0,2.14684,0.0
