interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2025-10-05 00:00:00-07:00,2025-10-05 07:00:00+00:00,2025-10-05 00:05:00-07:00,2025-10-05 07:05:00+00:00,22381
2025-10-05 00:05:00-07:00,2025-10-05 07:05:00+00:00,2025-10-05 00:10:00-07:00,2025-10-05 07:10:00+00:00,22561
2025-10-05 00:10:00-07:00,2025-10-05 07:10:00+00:00,2025-10-05 00:15:00-07:00,2025-10-05 07:15:00+00:00,22697
2025-10-05 00:15:00-07:00,2025-10-05 07:15:00+00:00,2025-10-05 00:20:00-07:00,2025-10-05 07:20:00+00:00,22602
2025-10-05 00:20:00-07:00,2025-10-05 07:20:00+00:00,2025-10-05 00:25:00-07:00,2025-10-05 07:25:00+00:00,22526
2025-10-05 00:25:00-07:00,2025-10-05 07:25:00+00:00,2025-10-05 00:30:00-07:00,2025-10-05 07:30:00+00:00,22502
2025-10-05 00:30:00-07:00,2025-10-05 07:30:00+00:00,2025-10-05 00:35:00-07:00,2025-10-05 07:35:00+00:00,22458
2025-10-05 00:35:00-07:00,2025-10-05 07:35:00+00:00,2025-10-05 00:40:00-07:00,2025-10-05 07:40:00+00:00,22234
2025-10-05 00:40:00-07:00,2025-10-05 07:40:00+00:00,2025-10-05 00:45:00-07:00,2025-10-05 07:45:00+00:00,22193
2025-10-05 00:45:00-07:00,2025-10-05 07:45:00+00:00,2025-10-05 00:50:00-07:00,2025-10-05 07:50:00+00:00,22032
2025-10-05 00:50:00-07:00,2025-10-05 07:50:00+00:00,2025-10-05 00:55:00-07:00,2025-10-05 07:55:00+00:00,22008
2025-10-05 00:55:00-07:00,2025-10-05 07:55:00+00:00,2025-10-05 01:00:00-07:00,2025-10-05 08:00:00+00:00,21911
2025-10-05 01:00:00-07:00,2025-10-05 08:00:00+00:00,2025-10-05 01:05:00-07:00,2025-10-05 08:05:00+00:00,21817
2025-10-05 01:05:00-07:00,2025-10-05 08:05:00+00:00,2025-10-05 01:10:00-07:00,2025-10-05 08:10:00+00:00,21750
2025-10-05 01:10:00-07:00,2025-10-05 08:10:00+00:00,2025-10-05 01:15:00-07:00,2025-10-05 08:15:00+00:00,21739
2025-10-05 01:15:00-07:00,2025-10-05 08:15:00+00:00,2025-10-05 01:20:00-07:00,2025-10-05 08:20:00+00:00,21670
2025-10-05 01:20:00-07:00,2025-10-05 08:20:00+00:00,2025-10-05 01:25:00-07:00,2025-10-05 08:25:00+00:00,21570
2025-10-05 01:25:00-07:00,2025-10-05 08:25:00+00:00,2025-10-05 01:30:00-07:00,2025-10-05 08:30:00+00:00,21515
2025-10-05 01:30:00-07:00,2025-10-05 08:30:00+00:00,2025-10-05 01:35:00-07:00,2025-10-05 08:35:00+00:00,21436
2025-10-05 01:35:00-07:00,2025-10-05 08:35:00+00:00,2025-10-05 01:40:00-07:00,2025-10-05 08:40:00+00:00,21343
2025-10-05 01:40:00-07:00,2025-10-05 08:40:00+00:00,2025-10-05 01:45:00-07:00,2025-10-05 08:45:00+00:00,21279
2025-10-05 01:45:00-07:00,2025-10-05 08:45:00+00:00,2025-10-05 01:50:00-07:00,2025-10-05 08:50:00+00:00,21212
2025-10-05 01:50:00-07:00,2025-10-05 08:50:00+00:00,2025-10-05 01:55:00-07:00,2025-10-05 08:55:00+00:00,21142
2025-10-05 01:55:00-07:00,2025-10-05 08:55:00+00:00,2025-10-05 02:00:00-07:00,2025-10-05 09:00:00+00:00,21060
2025-10-05 02:00:00-07:00,2025-10-05 09:00:00+00:00,2025-10-05 02:05:00-07:00,2025-10-05 09:05:00+00:00,20969
2025-10-05 02:05:00-07:00,2025-10-05 09:05:00+00:00,2025-10-05 02:10:00-07:00,2025-10-05 09:10:00+00:00,20964
2025-10-05 02:10:00-07:00,2025-10-05 09:10:00+00:00,2025-10-05 02:15:00-07:00,2025-10-05 09:15:00+00:00,20955
2025-10-05 02:15:00-07:00,2025-10-05 09:15:00+00:00,2025-10-05 02:20:00-07:00,2025-10-05 09:20:00+00:00,20880
2025-10-05 02:20:00-07:00,2025-10-05 09:20:00+00:00,2025-10-05 02:25:00-07:00,2025-10-05 09:25:00+00:00,20806
2025-10-05 02:25:00-07:00,2025-10-05 09:25:00+00:00,2025-10-05 02:30:00-07:00,2025-10-05 09:30:00+00:00,20736
2025-10-05 02:30:00-07:00,2025-10-05 09:30:00+00:00,2025-10-05 02:35:00-07:00,2025-10-05 09:35:00+00:00,20671
2025-10-05 02:35:00-07:00,2025-10-05 09:35:00+00:00,2025-10-05 02:40:00-07:00,2025-10-05 09:40:00+00:00,20603
2025-10-05 02:40:00-07:00,2025-10-05 09:40:00+00:00,2025-10-05 02:45:00-07:00,2025-10-05 09:45:00+00:00,20547
2025-10-05 02:45:00-07:00,2025-10-05 09:45:00+00:00,2025-10-05 02:50:00-07:00,2025-10-05 09:50:00+00:00,20503
2025-10-05 02:50:00-07:00,2025-10-05 09:50:00+00:00,2025-10-05 02:55:00-07:00,2025-10-05 09:55:00+00:00,20433
2025-10-05 02:55:00-07:00,2025-10-05 09:55:00+00:00,2025-10-05 03:00:00-07:00,2025-10-05 10:00:00+00:00,20395
2025-10-05 03:00:00-07:00,2025-10-05 10:00:00+00:00,2025-10-05 03:05:00-07:00,2025-10-05 10:05:00+00:00,20316
2025-10-05 03:05:00-07:00,2025-10-05 10:05:00+00:00,2025-10-05 03:10:00-07:00,2025-10-05 10:10:00+00:00,20307
2025-10-05 03:10:00-07:00,2025-10-05 10:10:00+00:00,2025-10-05 03:15:00-07:00,2025-10-05 10:15:00+00:00,20294
2025-10-05 03:15:00-07:00,2025-10-05 10:15:00+00:00,2025-10-05 03:20:00-07:00,2025-10-05 10:20:00+00:00,20260
2025-10-05 03:20:00-07:00,2025-10-05 10:20:00+00:00,2025-10-05 03:25:00-07:00,2025-10-05 10:25:00+00:00,20219
2025-10-05 03:25:00-07:00,2025-10-05 10:25:00+00:00,2025-10-05 03:30:00-07:00,2025-10-05 10:30:00+00:00,20158
2025-10-05 03:30:00-07:00,2025-10-05 10:30:00+00:00,2025-10-05 03:35:00-07:00,2025-10-05 10:35:00+00:00,20131
2025-10-05 03:35:00-07:00,2025-10-05 10:35:00+00:00,2025-10-05 03:40:00-07:00,2025-10-05 10:40:00+00:00,20072
2025-10-05 03:40:00-07:00,2025-10-05 10:40:00+00:00,2025-10-05 03:45:00-07:00,2025-10-05 10:45:00+00:00,20049
2025-10-05 03:45:00-07:00,2025-10-05 10:45:00+00:00,2025-10-05 03:50:00-07:00,2025-10-05 10:50:00+00:00,20025
2025-10-05 03:50:00-07:00,2025-10-05 10:50:00+00:00,2025-10-05 03:55:00-07:00,2025-10-05 10:55:00+00:00,19982
2025-10-05 03:55:00-07:00,2025-10-05 10:55:00+00:00,2025-10-05 04:00:00-07:00,2025-10-05 11:00:00+00:00,19914
2025-10-05 04:00:00-07:00,2025-10-05 11:00:00+00:00,2025-10-05 04:05:00-07:00,2025-10-05 11:05:00+00:00,19848
2025-10-05 04:05:00-07:00,2025-10-05 11:05:00+00:00,2025-10-05 04:10:00-07:00,2025-10-05 11:10:00+00:00,19903
2025-10-05 04:10:00-07:00,2025-10-05 11:10:00+00:00,2025-10-05 04:15:00-07:00,2025-10-05 11:15:00+00:00,19931
2025-10-05 04:15:00-07:00,2025-10-05 11:15:00+00:00,2025-10-05 04:20:00-07:00,2025-10-05 11:20:00+00:00,19907
2025-10-05 04:20:00-07:00,2025-10-05 11:20:00+00:00,2025-10-05 04:25:00-07:00,2025-10-05 11:25:00+00:00,19896
2025-10-05 04:25:00-07:00,2025-10-05 11:25:00+00:00,2025-10-05 04:30:00-07:00,2025-10-05 11:30:00+00:00,19870
2025-10-05 04:30:00-07:00,2025-10-05 11:30:00+00:00,2025-10-05 04:35:00-07:00,2025-10-05 11:35:00+00:00,19868
2025-10-05 04:35:00-07:00,2025-10-05 11:35:00+00:00,2025-10-05 04:40:00-07:00,2025-10-05 11:40:00+00:00,19873
2025-10-05 04:40:00-07:00,2025-10-05 11:40:00+00:00,2025-10-05 04:45:00-07:00,2025-10-05 11:45:00+00:00,19859
2025-10-05 04:45:00-07:00,2025-10-05 11:45:00+00:00,2025-10-05 04:50:00-07:00,2025-10-05 11:50:00+00:00,19858
2025-10-05 04:50:00-07:00,2025-10-05 11:50:00+00:00,2025-10-05 04:55:00-07:00,2025-10-05 11:55:00+00:00,19822
2025-10-05 04:55:00-07:00,2025-10-05 11:55:00+00:00,2025-10-05 05:00:00-07:00,2025-10-05 12:00:00+00:00,19859
2025-10-05 05:00:00-07:00,2025-10-05 12:00:00+00:00,2025-10-05 05:05:00-07:00,2025-10-05 12:05:00+00:00,19836
2025-10-05 05:05:00-07:00,2025-10-05 12:05:00+00:00,2025-10-05 05:10:00-07:00,2025-10-05 12:10:00+00:00,19914
2025-10-05 05:10:00-07:00,2025-10-05 12:10:00+00:00,2025-10-05 05:15:00-07:00,2025-10-05 12:15:00+00:00,19954
2025-10-05 05:15:00-07:00,2025-10-05 12:15:00+00:00,2025-10-05 05:20:00-07:00,2025-10-05 12:20:00+00:00,19970
