area,latitude,longitude,node_id,node_type,index_right,us_state
CA,35.440039999987434,-119.13120483044938,0096WD_7_N001,GEN,4.0,California
CA,35.440039999987434,-119.13131516955065,0096WD_7_N002,LOAD,4.0,California
PACE,40.55616421922593,-111.90056,106THSO_LNODED1,LOAD,44.0,Utah
PACE,40.53944,-111.89667,118THSO_LNODER1,LOAD,44.0,Utah
PACE,40.55608289037062,-111.90049819809536,126THSO_LNODE_LDT1,LOAD,44.0,Utah
PACE,40.55608289037062,-111.90062180190463,126THSO_LNODE_LDT2,LOAD,44.0,Utah
PACE,40.73972,-111.88633,13THSO_LNODED2,LOAD,44.0,Utah
CA,35.60563922361469,-119.7083249,1501WDC2_7_ND001,GEN,4.0,California
PACE,41.22611,-111.96939,23RDST_LNODED3,LOAD,44.0,Utah
CA,35.294502,-118.854003,2C559EQ2_7_N001,GEN,4.0,California
CA,37.120002,-121.068834,2C577C1_7_N001,GEN,4.0,California
CA,34.509047,-117.919726,2PBLSM34_7_N001,GEN,4.0,California
CA,35.02051774,-119.0626791,3EMIDIO_6_N001,LOAD,4.0,California
CA,35.02051773995017,-119.06256889029795,3EMIDIO_6_N002,LOAD,4.0,California
CA,35.02042748414004,-119.0626791,3EMIDIO_6_N003,LOAD,4.0,California
PACE,37.800604,-113.158869,3PEAKS_1_BESS1GNODE,GEN,44.0,Utah
PACE,37.800603999944606,-113.15875455615992,3PEAKS_GNODE1,GEN,44.0,Utah
PACE,40.76638999998463,-111.90188029934612,3RDWEST_LNODED1,LOAD,44.0,Utah
PACE,40.76638999998463,-111.90199970065387,3RDWEST_LNODED2,LOAD,44.0,Utah
CA,38.019008,-121.864703,4C687C2_7_N001,GEN,4.0,California
CA,35.24743800236499,-118.8609048555241,4C744C12_7_N001,GEN,4.0,California
CA,35.24735999994994,-118.86084971115427,4C744C12_7_N002,LOAD,4.0,California
CA,35.24728199761002,-118.8609048556302,4C744C22_7_N001,GEN,4.0,California
CA,35.24728199761002,-118.8610151443698,4C744C32_7_N001,GEN,4.0,California
CA,35.24735999994994,-118.86107028884572,4C744C32_7_N002,LOAD,4.0,California
CA,35.24743800236499,-118.8610151444759,4C744C42_7_N001,GEN,4.0,California
PACE,40.76582999998463,-111.90494029989908,5THWEST_LNODED1,LOAD,44.0,Utah
PACE,40.76582999998463,-111.90505970010092,5THWEST_LNODER2,LOAD,44.0,Utah
PACE,40.75597,-111.88728,6THSO_LNODED1,LOAD,44.0,Utah
BPAT,46.1212,-122.9324,7AVEN_BP_LNODEFMR,LOAD,47.0,Washington
BANC,37.64197726998626,-121.00603849646912,8TH_ST_LNODEBXG,LOAD,4.0,California
